ticker,t_zero,pe,sga,gm,de,fcf,roic,industry,recovered,stock_return_12m,spy_return_12m,abnormal_return_12m
CSCO,2000-03-01,127.0,0.25,0.65,0.1,0.005,0.12,Networking,False,-0.627906914275901,-0.09048891429391527,-0.5374179999819857
MSFT,2000-03-01,59.0,0.22,0.86,0.0,0.015,0.3,Enterprise Software,True,-0.3463518839420201,-0.09048891429391527,-0.25586296964810484
INTC,2000-03-01,50.0,0.15,0.62,0.05,0.02,0.22,Semiconductors,True,-0.4965217806425239,-0.09048891429391527,-0.40603286634860863
ORCL,2000-03-01,103.0,0.28,0.78,0.2,0.008,0.15,Enterprise Software,True,-0.4020977180099905,-0.09048891429391527,-0.31160880371607524
QCOM,2000-03-01,200.0,0.12,0.6,0.05,0.003,0.08,Semiconductors,True,-0.5598023155335866,-0.09048891429391527,-0.46931340123967136
C,2007-10-01,11.0,0.4,0.55,8.0,0.02,0.04,Banking,False,-0.49106638562666266,-0.23187182713600382,-0.25919455849065887
BAC,2007-10-01,11.5,0.35,0.5,7.5,0.03,0.05,Banking,False,-0.19222539087567805,-0.23187182713600382,0.03964643626032577
JPM,2007-10-01,10.0,0.35,0.55,6.0,0.03,0.06,Banking,True,0.09920625277149116,-0.23187182713600382,0.331078079907495
WFC,2007-10-01,13.0,0.38,0.58,5.0,0.04,0.08,Banking,True,0.04273166254303679,-0.23187182713600382,0.27460348967904064
GS,2007-10-01,8.0,0.5,0.6,12.0,0.02,0.08,Investment Banking,True,-0.3925009094831479,-0.23187182713600382,-0.1606290823471441
GE,2007-10-01,15.0,0.2,0.35,4.0,0.04,0.06,Conglomerate,False,-0.3919535315578209,-0.23187182713600382,-0.1600817044218171
ZM,2021-11-01,130.0,0.35,0.75,0.05,0.015,0.12,Video Comms,False,-0.7028393250729242,-0.15151158462252284,-0.5513277404504013
DOCU,2021-11-01,195.0,0.5,0.78,1.5,0.005,0.05,E-Signature,False,-0.8277090197803231,-0.15151158462252284,-0.6761974351578002
SHOP,2021-11-01,350.0,0.3,0.55,0.5,0.002,0.03,E-Commerce Platform,True,-0.7722601012245028,-0.15151158462252284,-0.6207485166019799
CRM,2021-11-01,130.0,0.45,0.73,0.2,0.04,0.06,Enterprise CRM,True,-0.4721231298995097,-0.15151158462252284,-0.3206115452769869
SNAP,2021-09-01,0.0,0.55,0.55,0.5,-0.05,-0.08,Social Media,False,-0.8430632246099155,-0.11010126895256178,-0.7329619556573537
ABNB,2021-11-01,0.0,0.3,0.8,0.5,0.02,0.05,Travel Platform,True,-0.37542955761923047,-0.15151158462252284,-0.22391797299670763
DASH,2021-11-01,0.0,0.45,0.45,1.0,-0.05,-0.08,Food Delivery,True,-0.7721531882496996,-0.15151158462252284,-0.6206416036271767
CHGG,2022-11-01,28.0,0.48,0.74,0.91,0.085,0.04,EdTech,False,-0.6447181533323937,0.11649229987185304,-0.7612104532042467
UPWK,2022-11-01,0.0,0.61,0.75,0.85,0.012,-0.05,Freelance,False,-0.2820144017175469,0.11649229987185304,-0.39850670158939994
META,2022-02-01,24.0,0.25,0.8,0.1,0.06,0.18,Social Media,True,-0.5199999980716574,-0.07834302251875873,-0.4416569755528987
NVDA,2021-11-01,90.0,0.1,0.65,0.4,0.02,0.2,Semiconductors,True,-0.4752058507040294,-0.15151158462252284,-0.32369426608150653
TSLA,2021-11-01,350.0,0.1,0.25,0.3,-0.01,0.05,Electric Vehicles,True,-0.4344980458337102,-0.15151158462252284,-0.28298646121118737
COIN,2021-11-01,0.0,0.4,0.8,2.0,-0.05,-0.1,Crypto Exchange,True,-0.8087857555126924,-0.15151158462252284,-0.6572741708901695
